Order Number,Order Date and Time,Order_City,Restaurant Type,Total Bill (in Saudi Riyals),Delivery Duration (in minutes),Customer Rating (from 1 to 5 stars)
203,1/18/2025 12:17,Jeddah,Sweets,252.73,15,3
204,5/12/2023 19:40,Buraidah,Barbecue,535.70,7,4
205,5/10/2023 7:47,Hail,Coffee,395.11,14,4
206,4/3/2023 23:39,Abha,Fast Food,698.11,5,5
207,12/21/2024 13:30,Buraidah,Coffee,499.87,8,5
208,10/21/2023 7:49,Jeddah,Sushi,369.38,19,3
209,2/18/2022 6:55,Dammam,Sushi,57.05,9,3
210,5/26/2023 1:57,Abha,Sushi,791.81,10,2
211,9/17/2023 18:31,Buraidah,Vegetarian/Vegan,233.82,8,2
212,2/10/2022 15:54,Tabuk,Indian Cuisine,243.05,12,4
213,8/23/2023 5:57,Tabuk,Sweets,237.11,9,5
214,4/22/2024 19:54,Jeddah,Fast Food,207.25,18,1
215,5/18/2024 0:38,Tabuk,Fast Food,659.15,13,1
216,3/17/2023 1:34,Abha,Seafood,623.50,19,2
217,2/6/2022 5:30,Khobar,Indian Cuisine,402.98,18,3
218,8/17/2023 15:04,Tabuk,Seafood,460.00,16,4
219,5/25/2024 1:19,Tabuk,Fast Food,530.04,6,3
220,6/13/2024 16:32,Medina,Fast Food,694.53,8,5
221,1/6/2022 14:01,Buraidah,Italian Cuisine,365.32,4,4
222,4/4/2024 18:42,Buraidah,Coffee,755.65,13,4
223,8/22/2023 0:43,Jeddah,Coffee,593.26,16,4
224,1/3/2022 10:01,Jeddah,Barbecue,715.48,7,3
225,11/29/2024 20:01,Abha,Sushi,440.46,10,3
226,12/27/2023 0:52,Buraidah,Indian Cuisine,188.64,19,3
227,6/7/2023 5:20,Medina,Pizzeria,631.19,4,4
228,12/31/2024 16:53,Medina,Burger,597.79,19,3
229,8/10/2023 11:24,Tabuk,Barbecue,485.67,14,4
230,10/12/2023 22:05,Jeddah,Coffee,495.79,12,2
231,4/11/2022 18:43,Abha,Coffee,726.36,12,4
232,10/19/2022 17:18,Buraidah,Pizzeria,359.63,9,2
233,11/26/2024 18:07,Hail,Sushi,614.64,11,1
234,4/10/2024 21:23,Abha,Coffee,750.50,6,5
235,3/3/2022 0:55,Medina,Vegetarian/Vegan,161.09,5,4
236,5/21/2024 0:47,Dammam,Burger,49.87,16,3
237,10/20/2024 13:34,Medina,Vegetarian/Vegan,241.08,11,2
238,9/1/2022 0:38,Hail,Barbecue,324.81,15,3
239,4/25/2024 7:19,Medina,Seafood,271.28,11,2
240,11/11/2022 3:42,Medina,Pizzeria,463.22,15,5
241,2/27/2022 20:35,Riyadh,Seafood,298.11,17,4
242,5/12/2023 0:41,Mecca,Barbecue,340.21,20,4
243,12/15/2024 1:37,Buraidah,Indian Cuisine,731.08,19,1
244,11/7/2022 23:40,Tabuk,Bakeries,362.31,15,2
245,6/24/2023 14:59,Jeddah,Fast Food,102.05,17,3
246,11/13/2024 21:18,Abha,Seafood,658.24,19,1
247,10/28/2024 4:26,Hail,Indian Cuisine,257.26,10,4
248,12/26/2024 17:09,Dammam,Coffee,638.61,9,2
249,5/30/2023 12:08,Dammam,Burger,541.93,6,5
250,5/2/2023 10:36,Medina,Indian Cuisine,561.01,16,4
251,10/16/2024 8:05,Hail,Seafood,364.97,7,5
252,7/14/2023 11:31,Dammam,Italian Cuisine,409.70,11,1
253,1/25/2025 7:04,Riyadh,Indian Cuisine,154.41,19,4
